date,841,47,1190,1191,1140,1213,1013,1214,806,810,1317
2021-05-01,72,47,23,55,46,73,26,75,21,45,20
2021-06-01,64,45,23,46,54,77,25,70,19,45,20
2021-07-01,60,49,21,43,58,87,26,68,18,50,21
2021-08-01,60,47,22,39,51,78,26,66,22,51,18
2021-09-01,66,44,23,31,35,60,27,68,19,48,18
2021-10-01,65,43,23,26,26,47,26,65,18,59,18
2021-11-01,70,43,26,24,24,34,26,59,19,64,20
2021-12-01,81,41,22,21,21,27,26,60,17,48,21
2022-01-01,66,44,25,24,23,40,26,67,18,54,19
2022-02-01,64,43,24,24,25,44,26,69,17,59,20
2022-03-01,63,48,25,36,30,49,29,72,18,95,23
2022-04-01,67,49,23,43,34,59,28,75,19,76,19
