"REF_DATE","GEO","DGUID","Sales","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020-11","Canada","2016A000011124","Retail E-commerce sales, unadjusted
","Dollars","81","thousands","3","v108795020","1.3","4374918","B","","","0"
"2020-11","Canada","2016A000011124","Retail E-commerce sales, seasonally adjusted
","Dollars","81","thousands","3","v1257881695","1.4","3449369","B","","","0"
"2020-12","Canada","2016A000011124","Retail trade, unadjusted
 [44-453]","Dollars","81","thousands","3","v108795018","1.1","56257661","A","","","0"
"2020-12","Canada","2016A000011124","Electronic shopping and mail-order houses, unadjusted
 [45411]","Dollars","81","thousands","3","v108795019","1.2","2993067","A","","","0"
"2020-12","Canada","2016A000011124","Retail E-commerce sales, unadjusted
","Dollars","81","thousands","3","v108795020","1.3","4943411","A","","","0"
"2020-12","Canada","2016A000011124","Retail E-commerce sales, seasonally adjusted
","Dollars","81","thousands","3","v1257881695","1.4","3599041","A","","","0"
"2021-01","Canada","2016A000011124","Retail trade, unadjusted
 [44-453]","Dollars","81","thousands","3","v108795018","1.1","43424067","A","","","0"
"2021-01","Canada","2016A000011124","Electronic shopping and mail-order houses, unadjusted
 [45411]","Dollars","81","thousands","3","v108795019","1.2","2374748","A","","","0"
"2021-01","Canada","2016A000011124","Retail E-commerce sales, unadjusted
","Dollars","81","thousands","3","v108795020","1.3","3962416","A","","","0"
"2021-01","Canada","2016A000011124","Retail E-commerce sales, seasonally adjusted
","Dollars","81","thousands","3","v1257881695","1.4","4384087","A","","","0"
"2021-02","Canada","2016A000011124","Retail trade, unadjusted
 [44-453]","Dollars","81","thousands","3","v108795018","1.1","44687435","A","","","0"
"2021-02","Canada","2016A000011124","Electronic shopping and mail-order houses, unadjusted
 [45411]","Dollars","81","thousands","3","v108795019","1.2","2143400","A","","","0"
"2021-02","Canada","2016A000011124","Retail E-commerce sales, unadjusted
","Dollars","81","thousands","3","v108795020","1.3","3437177","A","","","0"
"2021-02","Canada","2016A000011124","Retail E-commerce sales, seasonally adjusted
","Dollars","81","thousands","3","v1257881695","1.4","4288378","A","","","0"
"2021-03","Canada","2016A000011124","Retail trade, unadjusted
 [44-453]","Dollars","81","thousands","3","v108795018","1.1","56853111","A","","","0"
"2021-03","Canada","2016A000011124","Electronic shopping and mail-order houses, unadjusted
 [45411]","Dollars","81","thousands","3","v108795019","1.2","2572559","A","","","0"
"2021-03","Canada","2016A000011124","Retail E-commerce sales, unadjusted
","Dollars","81","thousands","3","v108795020","1.3","4027641","A","","","0"
"2021-03","Canada","2016A000011124","Retail E-commerce sales, seasonally adjusted
","Dollars","81","thousands","3","v1257881695","1.4","4257058","A","","","0"
"2021-04","Canada","2016A000011124","Retail trade, unadjusted
 [44-453]","Dollars","81","thousands","3","v108795018","1.1","55725607","A","","","0"
