date,569,23,47,815,170,249,71,276,634,250,168,437,11,29,96,18,67,179,5,68,78,696,329,95,423,279,1160,813,466,468,46,750,747,121,123,697,1176,1268,288,248,30,287,612,13,31,7,38,969,477,25,380,1010,726,76,74,256,508,20,1199,144,748,48,255,50,664,60,802,621,1140,841,289,665,662,354,666,1150,277,650,651,652,158,1143,70,271,270,794,233,473,1339,932,882,94,293,205,208,1081,73,1188,185,610,206,1003,918,355,145,894,960,961,378,465,1164,784,1209,396,408,832,952,1139,107,903,343,77,278,1300,730,341,334,314,718,728,1162,53,342,1159,1214,670,12,566,672,673,49
2010-07-01,60,43,50,49,67,54,55,68,56,58,37,38,49,55,51,50,54,50,30,54,32,19,58,41,49,64,44,61,45,53,52,23,34,27,41,46,34,10,40,60,27,46,27,66,24,60,63,54,28,36,52,39,71,36,33,64,63,51,24,58,57,56,26,55,47,43,41,36,54,44,52,53,30,29,14,40,53,58,32,71,53,47,28,48,59,50,48,45,44,26,58,54,62,55,55,68,58,54,51,56,53,45,42,38,60,26,49,25,68,51,31,34,36,7,66,50,41,43,30,36,23,39,22,24,26,28,33,13,20,32,11,24,30,43,53,36,47,44,41,28,30
2010-08-01,53,44,51,49,66,57,56,67,63,57,38,39,48,54,50,52,52,46,32,57,34,19,62,55,52,64,50,66,51,55,52,23,35,26,41,55,35,9,41,62,31,47,30,71,25,60,62,56,30,36,51,41,68,36,40,64,61,47,29,57,58,54,27,55,44,48,38,45,48,42,56,50,30,28,15,42,53,53,35,71,52,47,28,47,61,48,46,46,38,8,57,52,62,50,52,59,63,53,51,59,56,52,45,41,64,23,54,27,70,48,32,34,31,7,65,54,29,45,28,35,24,39,21,50,27,28,40,13,20,32,11,25,29,42,54,37,46,44,44,30,27
2010-09-01,43,44,48,48,60,54,56,63,60,60,40,47,45,50,48,54,45,41,32,59,36,19,65,56,51,63,51,64,47,52,52,27,38,28,39,57,46,8,46,62,30,47,30,68,26,57,64,55,32,40,49,41,70,37,50,65,63,49,33,49,56,55,28,55,42,46,37,46,34,44,52,46,29,27,15,41,47,52,38,71,50,48,29,45,59,42,48,43,37,8,54,57,48,41,39,42,57,49,50,58,44,41,40,45,56,29,56,29,61,51,39,35,31,8,63,51,23,47,30,38,24,40,23,52,30,29,40,13,23,33,12,23,31,49,51,36,48,47,41,33,28
2010-10-01,43,43,44,46,56,53,57,64,59,57,40,49,44,45,45,53,44,37,31,68,32,20,63,49,47,63,51,50,46,49,54,30,35,26,39,57,44,8,49,62,29,47,25,63,27,58,58,53,33,41,49,44,69,39,45,65,63,52,30,52,55,53,27,51,43,43,32,39,23,42,48,40,28,28,16,40,48,51,37,68,49,50,29,47,58,38,47,40,36,7,51,54,44,39,37,36,57,46,48,55,39,37,43,38,55,31,51,27,54,51,40,35,33,12,65,50,21,43,31,38,24,41,23,53,28,29,36,13,27,33,11,23,33,50,48,39,46,51,38,39,28
2010-11-01,44,47,45,45,53,54,56,63,62,62,38,51,45,44,44,57,41,35,33,65,35,20,66,54,50,62,47,53,43,45,47,28,33,28,39,63,48,9,47,62,30,47,27,64,28,58,58,51,32,47,46,45,69,40,44,67,64,49,29,52,51,53,28,56,46,41,35,36,19,49,46,41,29,29,16,43,48,52,36,69,50,53,32,51,64,39,48,40,35,7,53,54,39,35,35,38,71,48,48,56,45,40,41,43,59,34,50,25,53,50,61,39,35,12,64,48,19,46,34,38,25,41,23,55,29,32,35,13,25,32,11,23,34,53,45,39,50,55,37,39,30
2010-12-01,42,42,40,41,50,48,63,61,50,47,33,41,41,38,36,62,41,34,32,69,42,22,59,52,41,56,44,46,35,42,40,21,26,30,37,66,37,9,36,59,30,40,26,64,23,56,53,47,29,39,42,44,71,33,37,55,59,46,24,55,48,44,24,60,40,32,28,32,19,55,41,36,26,24,15,53,59,43,30,53,43,59,39,54,53,42,41,35,28,7,50,48,32,36,37,36,82,52,48,51,32,43,39,49,59,30,38,20,44,46,38,32,34,9,60,41,16,39,31,36,21,36,21,43,26,24,26,13,21,31,9,21,27,42,41,31,44,41,30,27,24
2011-01-01,52,46,51,51,53,55,66,71,73,74,42,56,50,62,52,61,59,47,37,66,43,24,74,61,45,67,51,58,51,46,50,28,35,35,41,55,49,11,48,70,36,53,51,76,29,71,66,53,34,50,51,82,92,45,54,75,79,59,38,61,57,59,32,60,46,55,34,38,30,52,59,44,32,31,15,47,56,56,39,71,55,66,31,60,70,40,55,46,29,7,61,84,62,47,50,67,60,52,58,74,65,48,48,47,76,33,71,37,73,49,43,39,37,9,74,56,22,47,39,49,26,44,34,62,32,34,43,15,25,37,14,26,34,56,51,39,55,52,38,39,31
2011-02-01,52,45,49,53,51,53,63,69,69,69,39,55,48,63,55,55,55,47,35,61,36,23,72,56,50,62,51,51,48,46,51,32,35,30,40,52,49,14,50,67,33,54,72,69,30,68,64,56,34,48,48,70,84,45,48,73,70,56,38,57,59,60,32,59,42,54,31,39,31,49,60,44,30,31,15,45,52,56,41,79,55,60,34,52,63,38,54,46,30,7,58,70,55,45,47,62,49,46,59,73,54,41,49,35,73,31,70,33,69,52,44,39,41,8,72,53,21,39,38,57,28,45,44,67,33,35,40,13,27,37,16,27,39,57,53,41,56,50,40,40,32
2011-03-01,51,49,54,55,54,57,65,66,75,73,51,57,52,66,55,58,54,45,36,64,37,24,77,59,51,67,53,55,51,52,58,32,37,34,45,58,53,16,54,71,33,58,39,73,32,73,71,60,34,54,49,61,88,47,49,75,72,56,41,62,62,63,34,62,46,56,33,41,34,49,70,47,31,33,16,48,54,60,43,87,60,64,31,54,65,41,67,50,28,8,60,71,54,46,46,63,54,50,59,77,52,43,51,35,72,33,73,35,73,52,45,40,50,11,79,69,25,45,40,47,30,48,57,70,33,39,41,15,28,37,19,26,37,58,65,44,57,54,46,42,33
2011-04-01,51,45,59,59,57,52,67,67,70,67,38,59,55,66,57,60,51,41,35,66,38,23,76,56,50,65,47,54,49,51,61,33,38,38,45,62,50,21,54,68,31,55,30,72,29,72,69,55,33,51,50,49,95,56,45,73,68,61,36,70,68,64,30,63,41,54,29,42,40,54,72,48,31,33,16,46,54,61,43,84,59,61,33,53,66,42,58,55,28,7,60,70,79,48,44,60,57,52,57,75,44,45,51,38,71,35,69,34,69,52,42,37,40,23,73,64,29,44,36,43,26,44,56,68,31,34,37,16,25,37,20,26,36,55,72,43,55,55,46,45,31
2011-05-01,51,45,53,54,57,49,61,65,68,68,37,48,57,61,53,57,47,41,32,61,37,22,75,54,44,61,45,47,44,48,62,34,34,35,43,59,47,21,52,65,29,56,29,70,27,65,67,55,30,47,52,40,93,47,42,71,59,58,33,67,71,66,29,60,41,53,30,36,46,52,68,45,28,30,15,47,56,63,42,83,62,56,38,52,61,43,53,50,28,6,60,64,66,45,45,60,57,49,55,69,45,43,50,36,72,33,67,32,66,54,37,34,38,23,72,63,42,43,33,37,23,41,32,63,31,33,32,14,26,34,15,24,30,50,63,49,53,49,49,38,30
