date,Economic crisis,Crisis,Recession,Financial crisis,Krach,Unemployment,Unemployment benefits,Student loan,Loan,Interest,Mortgage,Auto Financing,Birthday,Temporary jobs,Affordable housing,Lawyer,public debt,office space,Housing bubble,Bankruptcy,Exportation,Commercial Building,Foreclosure
2016-03-01,4,8,21,13,2,13,4,59,64,51,41,33,58,29,25,81,62,55,37,68,19,60,30
2016-04-01,8,15,51,26,14,12,8,50,65,52,41,46,61,38,33,79,40,49,31,65,21,64,33
2016-05-01,2,3,13,0,16,10,8,47,65,51,39,33,54,45,49,82,33,49,39,65,18,58,27
2016-06-01,3,4,9,0,10,11,5,53,67,48,37,38,63,32,35,85,34,52,61,55,13,43,23
2016-07-01,2,3,24,7,13,11,4,62,67,42,36,39,39,29,24,78,24,50,60,71,7,52,24
2016-08-01,0,2,15,0,13,11,3,76,74,42,35,53,48,28,29,85,16,45,71,77,9,48,31
2016-09-01,2,2,19,0,12,11,5,72,65,45,34,40,52,32,16,84,26,51,51,73,20,54,23
2016-10-01,3,8,31,7,12,10,4,51,63,51,46,35,61,35,38,80,33,48,40,76,17,54,25
2016-11-01,3,6,26,0,23,12,6,62,64,49,33,41,54,46,40,78,39,47,28,77,19,53,19
2016-12-01,5,10,31,26,21,13,9,50,60,45,26,47,49,31,19,70,32,42,24,73,19,51,24
2017-01-01,6,5,41,12,13,13,7,66,68,51,35,31,61,38,41,74,32,49,29,73,15,61,28
2017-02-01,3,8,31,6,11,12,5,53,68,52,39,43,43,18,26,82,37,48,44,74,21,52,28
2017-03-01,4,11,62,6,12,12,4,60,70,58,48,41,62,33,32,84,58,61,55,64,15,57,22
2017-04-01,4,7,57,12,13,9,5,54,70,53,43,47,66,18,34,76,50,58,85,94,17,57,25
2017-05-01,1,4,21,0,18,11,6,54,73,48,42,50,46,33,14,83,26,72,74,99,20,53,26
2017-06-01,5,8,22,0,5,10,4,57,71,54,39,43,50,46,37,89,27,54,61,100,15,53,21
2017-07-01,0,4,9,0,0,12,6,59,72,65,45,50,56,30,42,86,15,51,39,93,10,32,23
2017-08-01,1,2,9,0,4,11,6,74,74,49,39,56,42,31,11,84,14,53,30,70,7,58,20
2017-09-01,3,11,21,6,7,11,7,78,74,61,41,36,51,24,36,78,31,54,34,85,16,45,19
2017-10-01,0,4,20,6,19,10,5,43,65,55,38,45,42,27,40,82,49,55,21,62,14,51,22
2017-11-01,4,10,24,6,18,10,4,47,65,52,34,43,54,31,73,77,46,53,20,64,16,57,19
2017-12-01,4,3,16,0,13,12,5,47,60,47,29,50,39,37,24,67,25,46,13,53,11,46,20
2018-01-01,1,8,52,11,27,13,6,65,70,67,50,47,59,28,22,73,42,51,17,71,13,55,23
2018-02-01,1,3,17,6,37,12,7,57,74,61,40,39,45,33,24,75,28,52,15,78,11,43,21
2018-03-01,3,6,42,11,14,11,5,57,72,59,46,37,61,28,32,82,54,57,19,81,18,53,18
2018-04-01,3,9,42,17,18,10,5,56,71,62,48,62,56,42,29,85,47,50,15,74,19,47,23
2018-05-01,0,1,12,0,6,10,4,54,74,59,50,49,30,42,30,85,39,48,17,81,15,53,18
2018-06-01,4,6,20,0,13,10,7,56,75,54,40,59,64,43,44,85,40,47,16,41,13,45,21
2018-07-01,3,1,12,0,8,10,6,58,74,57,44,49,54,25,34,84,31,45,13,25,9,49,21
2018-08-01,0,5,8,6,2,11,5,74,79,53,40,91,61,33,40,85,18,48,13,24,11,49,22
2018-09-01,6,7,28,6,6,10,6,76,73,57,36,58,56,26,20,83,42,47,22,21,12,56,20
2018-10-01,3,4,31,6,14,11,4,50,71,65,41,58,52,24,23,81,37,56,16,25,18,55,21
2018-11-01,0,5,27,12,26,11,4,42,68,55,33,81,47,42,49,78,35,49,13,24,17,61,16
2018-12-01,0,3,41,6,17,12,5,40,62,50,27,52,37,28,41,69,32,44,13,22,13,42,18
2019-01-01,4,8,37,11,35,12,5,60,73,64,42,47,68,40,31,81,25,77,10,29,12,56,21
2019-02-01,1,8,28,6,15,10,5,52,76,60,41,59,44,36,54,87,38,100,11,27,14,54,23
2019-03-01,0,8,23,6,10,11,5,60,78,65,51,55,53,37,54,85,55,87,10,29,20,58,24
2019-04-01,3,5,23,11,18,11,9,54,86,68,50,73,57,37,42,95,32,88,9,34,18,64,27
2019-05-01,1,2,30,0,20,10,5,47,78,61,47,66,47,46,38,91,23,75,10,25,16,56,22
2019-06-01,4,9,8,17,16,11,7,54,77,59,46,57,51,40,39,85,41,71,11,23,10,54,21
2019-07-01,0,2,8,0,8,11,7,52,80,62,50,47,43,50,42,91,22,82,15,24,7,44,21
2019-08-01,4,8,31,11,2,9,4,69,85,61,51,58,48,38,45,91,17,60,21,27,8,56,23
2019-09-01,6,8,29,5,11,11,6,71,84,63,50,74,66,32,34,88,31,91,11,36,12,59,26
2019-10-01,1,7,38,15,18,11,6,52,77,62,43,53,46,40,46,89,46,66,13,31,16,61,23
2019-11-01,2,7,48,15,20,11,8,41,74,57,40,61,53,49,38,83,21,60,10,28,14,53,25
2019-12-01,5,8,18,5,8,11,6,42,74,53,31,65,34,46,43,78,29,68,10,30,10,55,27
2020-01-01,1,4,17,5,19,12,9,61,79,69,49,51,60,54,54,87,32,67,11,31,13,61,29
2020-02-01,4,7,28,5,9,11,6,56,87,70,56,51,49,27,60,93,30,61,11,33,16,62,31
2020-03-01,6,13,100,18,100,65,55,85,100,100,100,61,31,65,43,75,44,49,11,31,10,52,25
2020-04-01,3,9,79,9,26,46,32,52,89,82,56,43,25,36,17,67,52,42,9,34,14,48,27
2020-05-01,4,6,35,4,26,22,12,49,88,65,55,44,15,32,15,75,38,55,8,49,10,42,33
